voltage_V,current_A,temperature_C,soc_percent,soh_percent,internal_resistance_mOhm,charge_cycles,ambient_temp_C,fault
3.753,2.725,32.32,43.27,92.37,46.76,492,27.58,0
3.575,2.476,45.96,54.35,89.28,53.05,623,30.0,1
3.438,2.361,59.79,71.14,75.97,52.71,854,38.25,1
3.39,1.49,37.68,36.85,87.93,90.33,1226,26.93,1
3.746,1.527,35.35,84.04,99.74,54.67,727,27.41,0
3.758,2.816,30.59,88.78,90.11,43.49,468,25.64,0
3.775,2.015,26.38,74.88,90.58,43.77,435,27.3,0
3.711,2.794,28.02,87.84,94.07,39.57,99,29.85,0
3.593,1.389,27.57,75.89,94.29,42.82,70,24.8,0
2.858,1.543,39.44,47.02,82.57,50.12,987,33.99,1
3.858,1.706,29.2,45.56,99.44,44.38,619,29.89,0
3.604,2.314,58.0,26.68,76.42,46.93,857,26.97,1
3.723,0.826,29.11,99.98,98.55,43.37,687,21.65,0
2.849,2.664,32.81,22.92,88.98,42.09,854,28.97,1
3.737,1.329,28.26,69.79,93.45,31.85,657,28.01,0
3.614,1.855,35.34,57.7,97.86,42.96,398,23.87,0
3.609,2.909,35.2,36.0,89.6,86.81,719,27.32,1
3.692,2.546,33.85,68.98,92.87,31.82,550,29.13,0
3.517,2.072,32.63,26.62,84.58,95.74,781,23.92,1
3.581,1.173,25.71,99.92,92.2,47.82,75,33.43,0
3.055,1.453,27.63,14.11,86.07,50.82,761,26.64,1
3.853,2.007,31.34,55.99,99.48,35.62,405,30.6,0
3.737,1.451,29.44,57.19,96.64,41.59,377,28.57,0
3.537,1.446,29.11,99.38,95.07,47.28,439,27.5,0
3.559,1.935,29.63,45.97,97.95,41.06,723,28.03,0
3.68,2.505,60.21,50.58,75.18,49.61,1088,27.03,1
2.861,1.765,26.46,38.89,91.0,55.08,409,34.67,1
3.782,1.825,21.68,93.69,90.57,39.37,258,28.47,0
3.389,2.817,57.06,42.23,82.76,45.82,640,35.5,1
3.542,2.698,30.42,53.81,92.73,37.91,443,31.08,0
3.507,2.027,33.88,45.61,81.13,82.89,1087,34.02,1
3.411,2.124,30.84,58.97,82.82,91.66,1092,28.62,1
3.579,2.929,56.53,28.29,80.27,48.13,811,33.62,1
3.578,2.506,31.14,67.01,90.85,43.0,95,26.51,0
3.647,1.718,63.95,76.21,86.37,48.14,470,30.13,1
3.747,2.759,52.77,58.18,85.59,53.33,410,30.29,1
